Url,Company,Keyword,K repeated,Context,ToV,TagAnimal,TagFood,TagEnergy,TagDistribution,TagWaste,TagManagement,Actions,SentenceAim,Typology
,Domino's,greenhouse gas,1,The new greenhouse gas footprint provides us with the baseline against which we will track future performance.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,dissemination,paragraph
https://biz.dominos.com/stewardship/responsible-sourcing/,Domino's,deforestation,2,"Reducing Deforestation
Domino’s is proud to report that 99% of the products sold by Domino’s stores in the United States come from domestic suppliers, and that the majority of our dairy and meat suppliers source their feed from domestic sources. Having completed our first assessment for not only emissions, but also land use change impacts, we are pleased that the vast majority of our sourcing choices to-date have resulted in few ingredients with deforestation impacts.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,take action,paragraph
,Domino's,deforestation,2,"While palm oil represents one of Domino’s ingredients that has the highest potential impact on deforestation, our supply chain team has taken extra steps to reduce the risk. We are committed to sourcing palm oil that is produced without deforestation of high conservation value areas, high carbon stock forests or the destruction of peat land.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,take action,paragraph
https://biz.dominos.com/stewardship/responsible-sourcing/,Domino's,carbon footprint,1,"For Domino’s, responsible sourcing means acknowledging the role we play in innovating and partnering with our suppliers as we move forward, in a way that increases ingredient information for our customers, enhances animal care standards and reduces our carbon footprint. We are proud of our history of purchasing the majority of all food products sold in our U.S. and Canadian stores from domestic suppliers.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,take action,paragraph
https://biz.dominos.com/stewardship/,Domino's,carbon footprint,1,"Increase supply chain transparency, enhance animal care standards and reduce carbon footprint through innovation and partnership.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,take action,subtitle
https://biz.dominos.com/stewardship/environmental-footprint/,Domino's,carbon footprint,3,"In 2020, working with global sustainability experts, Domino’s completed a corporate carbon footprint aligned with the Greenhouse Gas Protocol:

Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.
Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,dissemination,paragraph
https://biz.dominos.com/assets/js/pizza-footprint/index.html,Domino's,carbon footprint,2,"One of the more noteworthy items that came to light during our baseline analysis is the large role that our natural gas ovens play in our carbon footprint. Ovens are a pivotal piece of equipment for all our stores. They are at the heart of pizza making, and over the years new ovens have become more efficient. As a brand known for innovation and technology, we look forward to working with our suppliers on future ovens that have a lower carbon footprint than the ovens of today.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,take action,paragraph
,Domino's,carbon footprint,1,Play along and you can create your own Domino’s pizza and learn how the different ingredients impact its carbon footprint.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,dissemination,subtitle
https://biz.dominos.com/stewardship/community-impact/,Domino's,reforestation,1,"In 2020, Domino’s began focusing on different environmental issues, including reforestation, recycling and the water crisis, by partnering with nonprofit organizations.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,take action,paragraph
https://biz.dominos.com/stewardship/,Domino's,planet,1,"OUR VISION FOR STEWARDSHIP IS FOR DOMINO’S TO DELIVER THE POWER OF POSSIBLE EVERY DAY FOR THE COMMUNITIES WE SERVE, OUR PEOPLE AND THE PLANET.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,take action,statement
https://biz.dominos.com/stewardship/environmental-footprint/,Domino's,planet,1,"We believe that protecting the planet for future generations is the right thing to do for our customers, our team members and our business.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,take action,paragraph
